temperatura,humedad,alimento,estado,vida_util
21.44,58.11,Platano,Maduro,4
32.23,74.72,Lechuga,Maduro,3
22.76,53.55,Tomate,Deteriorado,1
18.78,47.71,Tomate,Deteriorado,1
20.52,74.43,Tomate,Fresco,10
24.56,70.11,Lechuga,Maduro,7
22.65,82.37,Lechuga,Maduro,5
22.7,73.75,Tomate,Maduro,7
23.59,43.06,Lechuga,Maduro,4
32.75,67.64,Lechuga,Fresco,13
29.17,87.98,Tomate,Maduro,4
33.68,60.58,Lechuga,Deteriorado,1
27.04,86.79,Pollo,Maduro,5
28.4,87.85,Pollo,Fresco,12
24.41,48.09,Pollo,Deteriorado,3
26.88,80.72,Tomate,Maduro,3
28.24,60.38,Lechuga,Fresco,9
34.62,89.97,Platano,Fresco,14
21.78,73.05,Platano,Maduro,4
25.17,64.88,Platano,Fresco,12
20.19,89.89,Pollo,Deteriorado,2
33.02,44.87,Lechuga,Maduro,7
23.12,62.82,Pollo,Deteriorado,2
21.16,73.81,Platano,Maduro,7
34.13,54.25,Tomate,Fresco,14
21.89,65.23,Tomate,Deteriorado,1
21.93,75.48,Lechuga,Maduro,5
32.04,60.7,Platano,Fresco,14
29.92,65.6,Platano,Deteriorado,2
23.44,40.39,Lechuga,Deteriorado,1
33.68,70.57,Tomate,Maduro,3
25.17,44.29,Lechuga,Fresco,13
29.09,43.94,Pollo,Fresco,9
26.91,41.25,Lechuga,Maduro,7
23.22,88.53,Pollo,Deteriorado,3
34.63,65.88,Platano,Maduro,5
22.56,47.91,Lechuga,Deteriorado,3
32.77,88.26,Lechuga,Deteriorado,1
21.79,73.47,Platano,Maduro,5
26.72,79.35,Lechuga,Deteriorado,3
25.75,40.79,Lechuga,Fresco,10
24.77,76.55,Lechuga,Deteriorado,1
24.54,66.21,Tomate,Maduro,3
28.15,77.33,Pollo,Deteriorado,2
22.97,88.13,Platano,Fresco,10
22.89,56.32,Platano,Maduro,4
22.51,74.21,Platano,Maduro,7
20.89,78.95,Pollo,Fresco,10
21.41,83.17,Tomate,Deteriorado,1
18.79,81.19,Platano,Maduro,7
33.32,53.88,Tomate,Maduro,5
34.78,74.37,Tomate,Deteriorado,1
32.14,72.69,Platano,Fresco,9
25.59,87.24,Pollo,Deteriorado,3
31.72,46.05,Platano,Fresco,7
18.06,54.52,Platano,Maduro,3
18.42,81.72,Platano,Fresco,15
23.28,70.4,Pollo,Fresco,12
34.65,50.19,Tomate,Fresco,8
29.15,78.04,Lechuga,Maduro,5
21.64,44.57,Pollo,Maduro,3
31.37,66.46,Pollo,Deteriorado,3
24.34,47.1,Platano,Maduro,6
24.69,47.01,Pollo,Deteriorado,3
26.52,85.66,Tomate,Deteriorado,3
23.21,83.43,Lechuga,Maduro,4
33.1,65.61,Pollo,Deteriorado,1
32.82,44.62,Tomate,Deteriorado,2
23.9,61.44,Lechuga,Maduro,4
30.1,53.42,Pollo,Deteriorado,2
30.88,51.23,Tomate,Deteriorado,3
25.05,51.86,Pollo,Maduro,4
32.34,80.86,Platano,Deteriorado,1
22.67,51.32,Lechuga,Maduro,4
32.34,82.12,Pollo,Deteriorado,3
24.5,73.72,Platano,Deteriorado,1
29.52,58.59,Pollo,Maduro,4
29.34,56.68,Pollo,Maduro,3
22.05,57.34,Pollo,Maduro,3
18.05,49.43,Tomate,Deteriorado,3
18.52,66.38,Tomate,Maduro,5
31.62,70.42,Platano,Fresco,15
25.18,85.05,Lechuga,Deteriorado,3
23.22,54.13,Pollo,Maduro,4
18.02,81.44,Pollo,Maduro,4
34.7,41.52,Lechuga,Fresco,14
29.7,86.84,Platano,Deteriorado,2
27.46,50.85,Pollo,Deteriorado,2
18.23,88.65,Lechuga,Fresco,12
19.0,68.36,Lechuga,Deteriorado,3
31.38,52.32,Lechuga,Fresco,14
27.08,61.07,Tomate,Fresco,7
28.41,81.59,Pollo,Fresco,15
32.32,83.88,Pollo,Fresco,10
19.45,82.52,Tomate,Maduro,6
27.75,65.99,Lechuga,Deteriorado,1
21.92,67.03,Lechuga,Fresco,10
34.71,56.64,Lechuga,Maduro,6
32.55,45.32,Pollo,Maduro,6
33.76,65.39,Platano,Maduro,4
24.39,79.32,Pollo,Fresco,9
27.46,89.88,Tomate,Maduro,7
18.26,42.98,Tomate,Deteriorado,3
19.23,68.05,Platano,Fresco,14
23.24,50.75,Tomate,Maduro,5
25.3,48.25,Platano,Deteriorado,2
30.4,51.35,Tomate,Fresco,12
21.07,68.91,Lechuga,Maduro,6
24.14,56.29,Lechuga,Maduro,5
32.83,51.01,Platano,Deteriorado,1
25.18,62.7,Pollo,Maduro,4
21.73,43.35,Pollo,Deteriorado,1
31.72,40.86,Platano,Fresco,10
34.32,60.35,Pollo,Deteriorado,1
29.81,65.13,Platano,Fresco,11
32.95,75.65,Tomate,Maduro,5
22.29,57.37,Platano,Deteriorado,3
28.56,43.45,Lechuga,Maduro,3
24.03,75.97,Platano,Fresco,11
32.14,40.11,Pollo,Maduro,6
32.3,54.12,Platano,Maduro,5
33.95,82.01,Lechuga,Maduro,6
29.6,82.03,Pollo,Fresco,9
30.25,59.95,Platano,Maduro,5
21.42,55.04,Lechuga,Deteriorado,3
23.58,70.27,Pollo,Deteriorado,2
29.09,66.05,Lechuga,Deteriorado,2
33.88,64.05,Pollo,Maduro,5
29.48,45.28,Pollo,Fresco,8
18.82,75.9,Platano,Deteriorado,3
31.85,86.05,Platano,Deteriorado,2
28.27,43.28,Platano,Fresco,11
21.73,55.28,Lechuga,Deteriorado,2
23.6,42.75,Lechuga,Fresco,7
18.56,54.58,Lechuga,Deteriorado,3
26.12,50.18,Lechuga,Maduro,3
26.73,60.92,Platano,Maduro,5
33.03,49.41,Lechuga,Deteriorado,1
28.15,58.53,Lechuga,Maduro,3
31.48,83.25,Tomate,Fresco,12
26.01,89.65,Pollo,Fresco,14
20.23,73.0,Lechuga,Deteriorado,1
34.77,69.11,Tomate,Maduro,3
29.77,49.68,Tomate,Fresco,7
19.53,41.98,Tomate,Fresco,15
32.42,41.96,Tomate,Deteriorado,3
28.29,51.36,Platano,Deteriorado,3
23.69,75.93,Tomate,Fresco,7
21.54,62.12,Tomate,Deteriorado,2
21.58,52.48,Pollo,Maduro,7
22.32,51.72,Pollo,Fresco,12
18.73,63.7,Platano,Fresco,10
19.31,60.08,Pollo,Deteriorado,3
23.94,57.86,Pollo,Maduro,4
31.25,72.45,Platano,Maduro,3
30.6,50.99,Lechuga,Fresco,12
28.59,56.28,Tomate,Maduro,4
18.75,78.66,Tomate,Fresco,13
25.7,84.4,Lechuga,Fresco,13
25.72,68.78,Platano,Maduro,7
24.75,89.87,Pollo,Deteriorado,1
34.3,55.13,Platano,Maduro,7
28.72,41.8,Tomate,Deteriorado,3
32.66,78.46,Platano,Fresco,9
22.36,57.65,Tomate,Fresco,13
32.02,69.61,Platano,Fresco,9
24.07,53.27,Pollo,Fresco,12
25.4,43.97,Platano,Deteriorado,3
21.79,80.08,Platano,Fresco,12
29.26,83.63,Platano,Maduro,5
34.65,54.69,Pollo,Maduro,3
26.4,51.02,Tomate,Deteriorado,2
29.98,42.57,Platano,Deteriorado,2
19.84,43.26,Platano,Deteriorado,3
33.95,63.62,Tomate,Deteriorado,3
24.71,86.7,Platano,Maduro,4
33.2,72.37,Lechuga,Fresco,15
20.39,62.33,Lechuga,Maduro,4
24.17,60.09,Lechuga,Deteriorado,2
24.48,72.32,Lechuga,Maduro,7
25.11,51.99,Lechuga,Deteriorado,1
30.72,44.66,Platano,Fresco,15
24.7,83.56,Platano,Deteriorado,3
30.16,72.36,Pollo,Deteriorado,2
24.83,85.28,Pollo,Maduro,7
25.85,63.27,Lechuga,Maduro,7
30.81,74.59,Tomate,Maduro,6
21.49,43.74,Tomate,Maduro,7
18.11,53.93,Platano,Deteriorado,2
22.57,86.03,Tomate,Maduro,4
19.3,84.67,Platano,Fresco,9
33.09,55.96,Platano,Deteriorado,2
22.01,82.05,Tomate,Deteriorado,1
18.02,52.23,Platano,Maduro,7
19.69,50.84,Pollo,Fresco,10
29.55,61.23,Platano,Maduro,4
19.5,82.62,Pollo,Fresco,15
33.63,72.47,Lechuga,Fresco,13
20.41,45.52,Pollo,Fresco,10
19.02,81.85,Tomate,Maduro,4
23.66,61.19,Lechuga,Fresco,7
25.83,42.81,Tomate,Fresco,14
32.34,45.47,Platano,Fresco,15
22.07,85.03,Lechuga,Maduro,6
25.98,78.96,Tomate,Maduro,6
22.11,74.06,Pollo,Fresco,12
22.83,88.21,Platano,Maduro,4
18.71,79.55,Lechuga,Deteriorado,3
31.23,82.52,Pollo,Fresco,7
27.93,76.34,Platano,Fresco,8
18.66,52.34,Platano,Fresco,8
31.07,78.34,Lechuga,Fresco,10
28.73,51.03,Platano,Fresco,7
28.37,61.9,Lechuga,Deteriorado,3
32.92,71.46,Lechuga,Maduro,6
26.1,80.03,Tomate,Maduro,5
19.06,51.88,Lechuga,Deteriorado,2
19.42,78.04,Tomate,Deteriorado,2
32.54,83.47,Platano,Fresco,8
32.57,74.94,Pollo,Fresco,11
27.67,78.2,Platano,Maduro,4
19.58,89.62,Tomate,Maduro,7
18.49,50.16,Lechuga,Deteriorado,3
32.35,56.7,Platano,Maduro,4
33.17,52.04,Pollo,Fresco,8
27.99,47.94,Lechuga,Deteriorado,3
22.55,76.51,Platano,Maduro,5
31.43,49.24,Pollo,Deteriorado,1
24.48,48.21,Pollo,Maduro,7
34.77,51.29,Pollo,Deteriorado,2
22.74,63.47,Platano,Fresco,11
34.79,40.15,Lechuga,Deteriorado,3
26.18,55.42,Tomate,Deteriorado,2
27.89,70.29,Pollo,Fresco,14
32.67,48.45,Pollo,Fresco,14
20.44,74.47,Platano,Deteriorado,3
33.39,86.68,Platano,Deteriorado,2
30.37,57.58,Platano,Deteriorado,1
18.37,81.82,Lechuga,Deteriorado,2
31.99,60.35,Pollo,Maduro,7
19.01,82.5,Lechuga,Fresco,9
30.58,54.78,Platano,Fresco,8
22.95,76.74,Pollo,Fresco,9
23.6,43.34,Tomate,Maduro,3
32.33,57.61,Tomate,Fresco,14
33.05,41.34,Tomate,Deteriorado,1
32.55,73.36,Lechuga,Fresco,14
25.77,49.2,Pollo,Fresco,9
28.06,80.19,Pollo,Maduro,4
23.48,80.65,Platano,Deteriorado,2
34.46,56.15,Platano,Maduro,3
25.51,43.79,Platano,Fresco,11
22.14,50.41,Pollo,Deteriorado,2
23.86,80.03,Pollo,Deteriorado,1
22.0,49.56,Lechuga,Maduro,6
33.64,56.13,Pollo,Deteriorado,1
31.57,50.61,Tomate,Deteriorado,2
24.61,63.62,Platano,Maduro,6
21.1,60.49,Platano,Fresco,11
27.41,66.21,Tomate,Fresco,13
23.67,73.39,Lechuga,Deteriorado,3
22.63,70.65,Pollo,Fresco,10
26.68,63.16,Pollo,Deteriorado,2
33.78,70.55,Pollo,Fresco,11
21.66,72.56,Lechuga,Maduro,3
24.95,68.9,Platano,Maduro,4
23.39,89.53,Platano,Maduro,4
24.14,86.71,Tomate,Fresco,10
18.04,79.0,Lechuga,Maduro,7
20.74,70.82,Tomate,Fresco,13
27.86,70.36,Lechuga,Maduro,6
32.7,55.74,Tomate,Maduro,7
34.08,82.08,Platano,Maduro,3
25.7,76.31,Platano,Deteriorado,2
24.73,52.18,Platano,Maduro,3
21.32,64.63,Lechuga,Fresco,14
30.27,74.34,Lechuga,Maduro,4
18.82,76.68,Tomate,Maduro,7
27.26,79.31,Lechuga,Fresco,9
25.92,73.65,Lechuga,Maduro,4
31.3,81.94,Lechuga,Fresco,14
29.52,77.22,Platano,Fresco,13
32.43,44.06,Pollo,Deteriorado,3
32.44,85.43,Platano,Maduro,7
25.55,61.8,Lechuga,Deteriorado,1
18.89,87.63,Tomate,Fresco,8
21.83,89.49,Lechuga,Maduro,3
32.63,58.46,Tomate,Deteriorado,2
23.81,50.0,Tomate,Fresco,12
34.04,58.68,Pollo,Fresco,7
20.53,58.35,Pollo,Fresco,7
25.74,55.74,Lechuga,Deteriorado,3
26.59,89.2,Tomate,Deteriorado,3
18.83,84.87,Pollo,Fresco,7
30.34,44.98,Lechuga,Deteriorado,3
27.09,63.76,Platano,Maduro,3
34.44,64.45,Platano,Deteriorado,3
21.96,66.99,Pollo,Fresco,14
23.23,48.21,Pollo,Fresco,11
20.72,61.3,Platano,Deteriorado,2
31.69,52.37,Lechuga,Deteriorado,1
21.46,74.21,Platano,Maduro,5
28.09,72.36,Tomate,Fresco,12
31.38,43.3,Lechuga,Maduro,5
28.08,57.65,Tomate,Maduro,5
21.28,77.73,Lechuga,Maduro,6
33.32,58.64,Lechuga,Deteriorado,1
31.86,68.28,Tomate,Maduro,3
28.26,72.18,Platano,Fresco,11
19.58,51.05,Pollo,Deteriorado,1
23.63,65.38,Lechuga,Fresco,8
21.41,85.88,Platano,Maduro,5
21.6,64.16,Tomate,Deteriorado,3
30.66,66.9,Platano,Fresco,15
20.38,88.08,Platano,Maduro,6
19.22,40.5,Platano,Deteriorado,3
21.94,81.48,Tomate,Deteriorado,2
32.51,87.23,Platano,Maduro,6
28.85,41.85,Tomate,Deteriorado,3
29.88,51.37,Pollo,Maduro,7
29.11,40.18,Lechuga,Maduro,6
18.26,61.5,Lechuga,Maduro,4
32.51,45.05,Pollo,Maduro,4
31.01,43.69,Tomate,Fresco,9
20.38,53.22,Platano,Deteriorado,1
32.75,80.37,Lechuga,Deteriorado,1
27.59,61.54,Platano,Fresco,11
24.83,67.44,Pollo,Deteriorado,3
25.83,55.72,Tomate,Maduro,4
32.96,54.57,Tomate,Deteriorado,2
33.36,73.9,Platano,Fresco,11
32.62,43.06,Lechuga,Maduro,7
32.41,74.62,Lechuga,Fresco,14
34.82,44.41,Tomate,Maduro,4
33.68,50.01,Pollo,Fresco,13
18.26,80.32,Lechuga,Fresco,13
18.88,77.68,Lechuga,Maduro,6
20.08,81.2,Tomate,Deteriorado,1
30.46,77.75,Platano,Maduro,4
31.55,43.31,Tomate,Deteriorado,2
20.83,51.48,Platano,Fresco,10
32.77,55.71,Lechuga,Fresco,7
23.64,58.53,Pollo,Fresco,11
24.15,46.99,Tomate,Maduro,5
27.35,51.92,Tomate,Fresco,11
29.93,86.18,Pollo,Deteriorado,3
33.48,44.43,Platano,Fresco,8
24.38,54.91,Lechuga,Fresco,13
32.95,76.9,Tomate,Maduro,6
26.87,65.84,Tomate,Fresco,10
21.64,46.79,Pollo,Maduro,4
20.88,69.12,Tomate,Deteriorado,1
26.15,74.07,Pollo,Fresco,13
26.49,71.34,Tomate,Fresco,11
20.58,50.27,Tomate,Deteriorado,1
32.82,59.97,Pollo,Maduro,7
32.31,82.1,Pollo,Deteriorado,1
34.89,85.04,Platano,Deteriorado,2
32.56,47.18,Lechuga,Deteriorado,1
33.08,72.35,Tomate,Maduro,7
21.78,53.5,Platano,Fresco,11
30.23,74.22,Platano,Fresco,12
32.43,56.44,Tomate,Maduro,5
28.64,84.72,Tomate,Deteriorado,2
25.73,67.41,Platano,Fresco,9
27.98,85.03,Lechuga,Deteriorado,1
28.13,65.48,Lechuga,Maduro,7
29.02,86.53,Pollo,Deteriorado,3
22.65,62.72,Platano,Deteriorado,3
22.48,49.77,Tomate,Maduro,4
28.01,86.89,Pollo,Maduro,4
20.24,70.21,Pollo,Fresco,14
29.97,83.11,Pollo,Maduro,3
25.22,42.5,Platano,Deteriorado,1
18.53,66.61,Pollo,Fresco,11
33.61,50.52,Tomate,Fresco,12
24.21,51.54,Lechuga,Deteriorado,2
25.33,53.89,Pollo,Fresco,15
26.02,53.23,Tomate,Deteriorado,2
19.15,84.84,Platano,Maduro,5
28.56,79.03,Pollo,Deteriorado,2
19.01,84.13,Tomate,Fresco,8
31.31,89.01,Pollo,Fresco,7
19.61,85.42,Tomate,Deteriorado,1
22.77,56.61,Pollo,Deteriorado,2
32.59,84.5,Lechuga,Fresco,9
31.45,44.49,Lechuga,Deteriorado,3
26.75,44.74,Lechuga,Fresco,15
18.34,41.38,Tomate,Maduro,6
34.57,79.96,Platano,Maduro,4
32.41,47.72,Platano,Deteriorado,3
27.13,45.11,Platano,Maduro,7
19.11,72.57,Lechuga,Fresco,8
22.05,43.84,Platano,Fresco,12
24.12,45.47,Lechuga,Fresco,8
33.42,75.56,Platano,Deteriorado,3
26.58,44.73,Platano,Deteriorado,2
22.64,42.27,Platano,Fresco,13
26.24,59.18,Platano,Fresco,10
19.5,55.98,Lechuga,Maduro,3
24.03,46.89,Pollo,Fresco,10
24.93,80.4,Lechuga,Fresco,9
30.44,70.46,Lechuga,Fresco,7
23.05,40.91,Tomate,Deteriorado,1
20.44,85.46,Pollo,Maduro,5
18.22,59.46,Platano,Deteriorado,2
20.08,82.4,Tomate,Maduro,5
26.24,74.56,Tomate,Maduro,6
21.55,67.66,Tomate,Maduro,4
25.4,70.01,Tomate,Deteriorado,3
18.15,40.04,Tomate,Deteriorado,2
31.92,65.45,Pollo,Deteriorado,3
29.89,87.84,Platano,Deteriorado,2
29.68,60.04,Platano,Maduro,4
31.14,71.88,Platano,Fresco,15
29.49,81.09,Platano,Maduro,6
21.85,86.54,Lechuga,Maduro,6
33.44,43.16,Lechuga,Fresco,9
24.05,60.67,Pollo,Deteriorado,2
31.12,58.58,Pollo,Fresco,14
31.01,59.83,Platano,Deteriorado,2
21.35,45.72,Platano,Maduro,3
24.06,58.27,Lechuga,Maduro,6
30.51,62.39,Platano,Deteriorado,2
19.01,52.3,Platano,Fresco,8
27.34,67.69,Tomate,Deteriorado,1
34.36,45.33,Tomate,Maduro,6
32.55,68.01,Lechuga,Fresco,14
20.78,82.32,Pollo,Fresco,8
25.34,71.43,Lechuga,Maduro,7
31.12,85.65,Pollo,Maduro,4
27.92,86.72,Tomate,Maduro,7
27.31,50.55,Tomate,Maduro,5
28.2,46.6,Lechuga,Fresco,13
31.99,48.0,Tomate,Fresco,8
22.22,57.6,Lechuga,Deteriorado,3
21.86,48.12,Lechuga,Fresco,14
23.54,45.95,Lechuga,Maduro,6
21.65,83.3,Pollo,Fresco,15
26.57,59.47,Platano,Fresco,8
30.39,73.94,Pollo,Deteriorado,3
30.64,65.15,Lechuga,Fresco,13
34.33,59.94,Lechuga,Maduro,4
23.24,60.91,Tomate,Fresco,9
25.32,84.54,Pollo,Deteriorado,1
32.57,88.99,Pollo,Deteriorado,1
31.77,69.87,Tomate,Maduro,6
27.42,71.16,Platano,Fresco,13
28.32,68.13,Platano,Fresco,11
19.44,82.37,Tomate,Fresco,8
26.44,63.76,Lechuga,Deteriorado,2
19.25,76.73,Lechuga,Maduro,7
22.03,56.04,Platano,Maduro,5
22.27,40.43,Pollo,Deteriorado,3
22.94,62.18,Lechuga,Deteriorado,1
30.91,44.9,Pollo,Deteriorado,2
24.95,53.23,Platano,Maduro,4
24.74,82.56,Pollo,Maduro,4
21.84,45.61,Tomate,Deteriorado,2
29.77,48.55,Tomate,Fresco,12
34.34,72.32,Lechuga,Maduro,6
31.86,74.05,Pollo,Maduro,6
18.48,45.83,Platano,Deteriorado,2
30.11,66.09,Platano,Deteriorado,1
32.28,66.45,Lechuga,Fresco,10
29.45,72.9,Lechuga,Deteriorado,3
23.05,68.67,Tomate,Fresco,12
25.59,63.89,Lechuga,Fresco,12
21.67,45.69,Lechuga,Maduro,6
34.68,56.45,Platano,Maduro,4
31.42,59.81,Platano,Deteriorado,3
26.33,74.13,Platano,Maduro,6
18.76,81.28,Pollo,Maduro,3
27.4,89.45,Pollo,Fresco,12
33.56,88.11,Platano,Maduro,6
22.2,53.07,Tomate,Fresco,14
22.31,47.09,Lechuga,Maduro,6
32.51,81.29,Tomate,Fresco,13
21.72,64.12,Lechuga,Maduro,4
34.08,73.5,Tomate,Deteriorado,2
